imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_2.tif,leitura_1_1,PostgreSQL,0.0017292499542236328,0.0,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_2.tif,leitura_1_1,MongoDB,0.0021648406982421875,0.0,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_3.tif,insercao,PostgreSQL,0.003316640853881836,0.0,58.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_3.tif,insercao,MongoDB,0.0020532608032226562,0.0,58.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_3.tif,leitura_1_1,PostgreSQL,0.0011899471282958984,33.3,58.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_3.tif,leitura_1_1,MongoDB,0.002048015594482422,0.0,58.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_4.tif,insercao,PostgreSQL,0.003290414810180664,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_4.tif,insercao,MongoDB,0.0036466121673583984,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_4.tif,leitura_1_1,PostgreSQL,0.001363992691040039,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_4.tif,leitura_1_1,MongoDB,0.0026845932006835938,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_5.tif,insercao,PostgreSQL,0.021254539489746094,55.6,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_5.tif,insercao,MongoDB,0.0026280879974365234,0.0,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_5.tif,leitura_1_1,PostgreSQL,0.0015382766723632812,0.0,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_5.tif,leitura_1_1,MongoDB,0.003110647201538086,0.0,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_6.tif,insercao,PostgreSQL,0.002989053726196289,0.0,58.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_6.tif,insercao,MongoDB,0.0019676685333251953,0.0,58.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_6.tif,leitura_1_1,PostgreSQL,0.001378774642944336,0.0,58.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_6.tif,leitura_1_1,MongoDB,0.002608776092529297,0.0,58.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_7.tif,insercao,PostgreSQL,0.020686864852905273,18.8,58.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_7.tif,insercao,MongoDB,0.0022537708282470703,0.0,58.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_7.tif,leitura_1_1,PostgreSQL,0.0009257793426513672,0.0,58.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_7.tif,leitura_1_1,MongoDB,0.0023424625396728516,0.0,58.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_8.tif,insercao,PostgreSQL,0.02158212661743164,33.3,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_8.tif,insercao,MongoDB,0.0023810863494873047,0.0,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_8.tif,leitura_1_1,PostgreSQL,0.0013134479522705078,0.0,57.6
